,first_name,middle,last_name,date_of_birth,sex,race_ethnicity,address,zipcode,household_id,unique_id,age,relation_to_household_head
3601,Joanna,Destiny,Gamboa,2019-03-02,Female,Latino,"7164 trout ln  holly hill, fl",32117,1584,39,,
3658,Christopher,David,Green,2018-07-19,Male,White,"40407 holley heights lp  jupiter, fl",33477,1609,40,,
3672,Luke,Owen,Hartman,2017-12-08,Male,White,"4601 cedar ave  venice, fl",34292,1614,41,,
3718,Amelie,Morgan,Duncan,2018-09-11,Female,White,"6805 colby ln  oviedo, fl",32765,1635,42,,
3822,Thomas,Kaden,Rogue-Luevano,2019-09-16,Male,Latino,"45 division ave  panama cty, fl",32405,1678,43,,
3886,Joshua,Henry,Swanson,2018-04-14,Male,White,"1109 sadler st  tequesta, fl",33469,1710,44,,
3904,Kenneth,Theodore,Abbasi Rehman,2016-10-20,Male,Multiracial or Other,"700 kiser rd  port charlotte, fl",33952,1719,45,,
3969,Derek,Axel,Wilson,2017-11-30,Male,White,"14550 serenoa dr  grand ridge, fl",32442,1743,46,,
4135,Calvin,Kingston,Falcon,2018-12-24,Male,Latino,"2617 universal dr  lisbon, fl",34748,1812,47,,
4139,Stella,Ivy,Miranda,2019-08-03,Female,Latino,"6240 e pemboke ct  destin, fl",32541,1815,48,,
4166,Kaliyah,Makayla,Scarlett,2019-08-11,Female,Black,"2600 comstock lane no  bradenton, fl",34202,1827,49,,
4194,Noah,Kasen,Sharp,2019-03-19,Male,White,"554 w 104th pl  palm bay, fl",32905,1837,50,,
4329,Sophia,Avery,Martinez,2017-10-22,Female,Latino,"313 s la peer dr  cooper cty, fl",33026,1899,51,,
4496,Riley,Emma,Ratliff,2018-10-22,Female,White,"127 violette st  jacksonville, fl",32219,1976,52,,
4725,Jayden,Isa,Salcedo,2018-12-02,Male,Latino,"1202 hundley dr nw  fort myers, fl",33919,2081,53,,
5069,Agustin,Liam,Hankins,2019-10-07,Male,Black,"3407 coeur d'alene drive gdfl pumpkin center, fl",34748,2232,54,,
5117,Jason,Lorenzo,Vance,2020-01-07,Male,White,"6580 n 73rd st  new pt richey, fl",34655,2247,55,,
5312,Elijah,Oliver,Murillo Terrazas,2016-09-29,Male,Latino,"1270 northland dv  longwood, fl",32750,2327,56,,
5316,Mateo,Thomas,Chang,2019-05-27,Male,Asian,"1929 7th stree south  clearwater, fl",33765,2328,57,,
5343,Wyatt,Noah,Sanchez-Delgado,2016-05-25,Male,Latino,"87 raymond hill rd  harbor palms, fl",33556,2338,58,,
5672,Maya,Ava,Loomis,2017-05-07,Female,White,"17577 pine ln  kendall, fl",33186,2476,59,,
5757,Noah,Sincere,Waddell,2017-12-05,Male,White,"1060 62nd ave s  tampa, fl",33605,2510,60,,
5773,Landon,Kenneth,Dayton,2018-04-04,Male,White,"846 monroe drive northeast  deltona, fl",32725,2516,61,,
5884,Odin,Landon,Peters,2015-09-03,Male,White,"9200 wystone ave  bonita springs, fl",34135,2564,62,,
5908,Kaitlyn,Renata,Pinchinat,2016-10-17,Female,Black,"1808 brothertown rd  jacksonville, fl",32258,2572,63,,
5931,Angely,Zuri,Drose,2018-08-13,Female,White,"2279 cr 180  saint augustine, fl",32086,2581,64,,
6047,Taylor,Henry,Dagostino,2016-09-30,Male,White,"562 onderdonk ave  north port, fl",34287,2621,65,,
6069,Preston,Salvador,Reed,2017-08-29,Male,White,"3331 covered wagon trl  jacksonville, fl",32218,2631,66,,
6203,Maverick,Diego,Sparrow,2016-10-04,Male,White,"5785 north tegner ro apt 107 l sunrise, fl",33351,2686,67,,
6298,Liliana,Clara,Mendoza,2016-12-30,Female,Latino,"3150 harvey ln  weston, fl",33327,2729,68,,
6379,Cherish,Anna,Huff,2018-07-18,Female,Black,"2123 walnut cr dr  altamonte springs, fl",32701,2758,69,,
6418,Kaiden,Kylian,Garcia,2016-09-07,Male,Latino,"13447 northeast san rafael stre unit no 059 coral springs, fl",33071,2774,70,,
6485,Kaiden,Zeus,Ortiz,2019-11-23,Male,Latino,"5275 white rd  jacksonville, fl",32210,2800,71,,
6551,Charlotte,Londyn,Cisneros,2017-12-07,Female,Latino,"9290 e thompson peak pkwy  st augustine, fl",32080,2834,72,,
6708,Madison,Anna,Sierra,2019-02-03,Female,Latino,"105 lloyds rd  middleburg, fl",32068,2894,73,,
6711,Gabriella,Madison,Jordan,2016-12-12,Female,White,"370 e first street apt num l ft lauderdale, fl",33308,2895,74,,
6791,Jaela,Gemma,Ring,2018-07-28,Female,White,"1322 red hawk cir  north palm beach, fl",33408,2930,75,,
6793,Scott,Landon,Hernandez Garcia,2019-01-10,Male,Latino,"1322 red hawk cir  north palm beach, fl",33408,2930,76,,
6885,Antonella,Julietta,Richmond,2019-01-13,Female,White,"1435 elm street  weston, fl",33326,2967,77,,
6888,Anthony,Landon,Rodriguez,2015-08-22,Male,Latino,"9 wood creek drive apt h lehigh acres, fl",33976,2968,78,,
6903,Gabriel,Elyas,Dawkins,2017-06-17,Male,Black,"3874 walnut ave  tamarac, fl",33319,2973,79,,
7084,Elliot,Cameron,Acosta Rodriguez,2016-08-26,Male,Latino,"9900 meteor dr  north port, fl",34288,3058,80,,
7136,Jack,Sebastian,Sanborn,2018-09-14,Male,White," oak tree ln  lakeland, fl",33809,3080,81,,
7141,Jeancarlos,Kaleb,Hidalgo Chaffee,2019-12-06,Male,Latino,"601 s merritt mill rd  riverview, fl",33596,3081,82,,
7200,Savannah,Olivia,Steele,2019-05-11,Female,White,"15620 ne 91st way  st. petersburg, fl",33707,3106,83,,
7240,Majesty,Clara,Tobar,2019-10-26,Female,Latino,"n55w 21701 adamdale drive  newberry, fl",32669,3125,84,,
7302,Leonardo,Benjamin,Harbold,2016-01-01,Male,White,"840 n 24th st  largo, fl",33777,3152,85,,
7374,Mateo,Noah,Davis,2017-08-29,Male,White,"123 burgess ln  jensen beach, fl",34957,3178,86,,
7398,Jayden,Landon,Nisly,2018-10-07,Male,White,"4713 spatz ave  lehigh acres, fl",33971,3191,87,,
7584,Oscar,Leo,Rayo,2018-10-11,Male,Latino,"10 brookletts ave  maitland, fl",32751,3270,88,,
7595,Samuel,Jacob,Mcdaniel,2019-07-24,Male,White,"1420 indian springs rd  lakeland, fl",33809,3274,89,,
7756,Johnnie,Liam,Wooley,2017-11-07,Male,Black,"3818 spice st  spring hill, fl",34609,3342,90,,
7803,Jose,Kevin,Tanguma,2017-05-20,Male,Latino,"84 emery rd  indian harbour beach, fl",32937,3360,91,,
7814,Janiyah,Julia,Sin,2018-11-27,Female,Multiracial or Other,"2903 thorn st  hollywood, fl",33021,3366,92,,
7819,Kelsey,Audrey,Moreland,2020-02-23,Female,Black,"240 hillsboro st  largo, fl",33708,3367,93,,
7891,Maxine,Emma,Miranda,2019-04-06,Female,Latino,"23 van dyke rd  lehigh acres, fl",33936,3391,94,,
8036,Milan,Oliver,Flick,2019-10-23,Male,White,"2250 peterson rd  hollywood, fl",33019,3453,95,,
8047,Heriberto,Kaleb,Lopez Roman,2016-07-01,Male,Latino,"29 purtell avenu  collins park estates, fl",34950,3456,96,,
8098,Alice,Ava,Turner,2019-12-18,Female,White,"1028 triumphant st  north port, fl",33981,3478,97,,
8144,Annabella,Rebekah,Boley,2017-05-01,Female,White,"2607 s 13th st  estero, fl",33928,3502,98,,
8198,Nicholas,Aiden,Martin,2015-04-12,Male,Latino,"6112 teaberry wy  rockledge, fl",32955,3522,99,,
8234,Gabriel,Landon,Bautista,2017-08-05,Male,Latino,"376 bay rd  apopka, fl",32712,3532,100,,
8366,Kylie,Arielle,Malone,2017-08-20,Female,White,"716 corbin st  miami beach, fl",33145,3585,101,,
8370,Madison,Audrey,Edwards,2019-05-26,Female,Black,"318 west prospect avnu  boynton beach, fl",33435,3586,102,,
8375,Dale,Messiah,Osorio,2017-07-19,Male,Latino,"8828 champions way  bonita spgs, fl",34134,3588,103,,
8385,Ian,Logan,Troxler,2019-02-11,Male,Black,"13300 e via linda  sarasota, fl",34231,3592,104,,
8459,Ruby,Ella,Jackson,2019-03-14,Female,Black,"8096 queen palm ln 218  jacksonville, fl",32258,3626,105,,
8649,Ethan,Angelo,Geddes,2018-06-06,Male,White,"15152 saint charles street ap # 101 lauderdale by the sea, fl",33062,3708,106,,
8670,Skyler,Kennedy,Beaufort,2019-05-25,Female,Black,"518 hyde park raod  weston, fl",33331,3718,107,,
8687,Charlotte,Ariella,Jones,2018-06-21,Female,Black,"525 scenic rnch cir  ft myers, fl",33913,3721,108,,
8723,Mackenzie,Victoria,Roney,2019-09-19,Female,White,"2796 pond place  weston, fl",33327,3735,109,,
8792,Isaiah,Jameson,Coleman,2018-05-18,Male,Black,"28416 denise st  lehigh acres, fl",33974,3758,110,,
8819,Isaiah,Ashton,Rosales,2020-03-16,Male,Latino,"3126 forest ave  plantation, fl",33317,3771,111,,
8909,Francesca,Alondra,Gillett,2017-02-20,Female,Black,"501 plumosa ave  ft myers, fl",33919,3806,112,,
8910,Isaac,Cian,Shay,2018-04-03,Male,Black,"501 plumosa ave  ft myers, fl",33919,3806,113,,
9025,Hunter,Ethan,Klug,2016-04-25,Male,White,"403 south 15th stre  winter springs, fl",32708,3853,114,,
9030,Noah,Vincent,Ta,2018-11-24,Male,Asian,"438 w evanston cir  melbourne beach, fl",32951,3854,115,,
9066,Charlotte,Parker,Schliep,2019-08-15,Female,Multiracial or Other,"19037 106th ave se  sanibel, fl",33957,3868,116,,
9115,Layla,Harper,Ruiz,2015-09-09,Female,Latino,"477 preston cr  lehigh acres, fl",33971,3886,117,,
9117,Cheyanne,Sage,Ochoa Lagunas,2019-11-28,Female,Latino,"477 preston cr  lehigh acres, fl",33971,3886,118,,
9137,Kobe,Nash,Brigman,2019-08-06,Male,White,"691 e hemp st  pensacola, fl",32526,3893,119,,
9211,Madelyn,Charlotte,Smith-Mendosa,2017-11-06,Female,Latino,"4534 olive stree  destin, fl",32541,3927,120,,
9253,Ariya,Alyson,Cruz,2018-12-21,Female,Latino,"4907 sinclair lane  live oak, fl",32060,3946,121,,
9269,Henry,Danny,Lopez Sanchez,2016-05-20,Male,Latino,"1015 ca allegre  kendall, fl",33175,3952,122,,
9287,Aliyah,Amira,Karr,2018-06-25,Female,White,"22 altamont street  kendall, fl",33176,3958,123,,
9543,Amy,Journee,Velasquez,2019-05-29,Female,Latino,"2545 se 21st ave  venice, fl",34292,4062,124,,
9689,Noah,Atlas,Mcintire,2020-02-27,Male,White,"11 greenway circle  wst palm beach, fl",33407,4127,125,,
9774,Penelope,Ella,Elliott,2018-12-27,Female,White,"412 rdge avnue  unincorporated, fl",32839,4160,126,,
9777,Penelope,Victoria,Wright,2019-11-07,Female,White,"412 rdge avnue  unincorporated, fl",32839,4160,127,,
9789,Maverick,Mason,Peper,2016-11-14,Male,White,"54 columbia street  stuart, fl",34997,4163,128,,
9886,Anna,Aliza,Spencer,2018-12-27,Female,White,"1681 250th avn  north port, fl",34286,4209,129,,
9908,Levi,Britton,Trenado Gama,2017-01-24,Male,Latino,"274 hampton rdg ct  indian lake estates, fl",33855,4217,130,,
9940,Amelia,Alaya,Miah,2018-10-05,Female,Asian,"2035 chalice wy  cape coral, fl",33993,4230,131,,
10071,Amelia,Liana,Marks,2019-07-23,Female,White,"8212 spring ridge dr  jacksonville, fl",32223,4285,132,,
10172,Josie,Mia,Warner,2018-09-19,Female,White,"226 cherry st  ft lauderdale, fl",33311,4334,133,,
10180,Serenity,Rose,Fahnbulleh,2018-09-14,Female,Black,"4071 daniels raod  sneads, fl",32460,4338,134,,
10190,Malakhi,Artemio,Vasquez,2018-08-13,Male,Latino,"2258 shoma dr  largo, fl",33782,4341,135,,
10237,Adelina,Ava,Stubblefield,2017-02-28,Female,Black,"302 w cottonwood st  unincorporated, fl",33411,4361,136,,
10449,Landon,Fisher,Hying,2017-11-24,Male,White,"509 se peterson dr  melbourne, fl",32940,4450,137,,
10450,Angelica,Phoebe,Elston,2019-12-25,Female,White,"509 se peterson dr  melbourne, fl",32940,4450,138,,
10486,Miles,Blake,Marquez,2018-11-19,Male,Latino,"139 cooper avenue  tampa, fl",33611,4465,139,,
10564,Jaliyah,Kaylani,Andrade,2019-03-01,Female,Latino,"930 nw 20th ave  jacksonville, fl",32225,4493,140,,
10586,Jonathan,Liam,Young,2019-04-16,Male,Multiracial or Other,"688 boston post rd  kendall, fl",33146,4500,141,,
10696,Majesty,Amir,Koshi,2020-03-06,Male,Asian,"2225 aitken ave  unincorporated, fl",33412,4552,142,,
10731,Willa,Jaylene,Gilpin,2019-01-08,Female,White,"100 cherry acres dr  spring hill, fl",34608,4567,143,,
10797,Jesus,Timothy,Diaz,2018-09-09,Male,Latino,"224 blodgett vw dr  palmetto, fl",34221,4601,144,,
10899,Levi,Gianluca,Price,2018-05-22,Male,Black," southwest 187th drive  bristol, fl",32321,4644,145,,
11002,Alanys,Kennedy,Londono,2018-09-05,Female,Latino,"4715 bennett rd  carrabelle, fl",32323,4693,146,,
11076,Dylan,Elijah,Bunch,2019-02-06,Male,White,"132 everglade dr  palm coast, fl",32164,4720,147,,
11312,Ismael,Isaac,Diaz,2016-01-23,Male,White,"2141 e bellerive pl  auburndale, fl",33823,4824,148,,
11370,Evelynn,Violeta,Chaires,2017-05-31,Female,Latino,"5042 jaysville-st johns rd  kissimmee, fl",34743,4848,149,,
11391,Jose,Benjamin,Banks,2017-04-02,Male,Black,"2030 east 218th place  unincorporated, fl",34787,4857,150,,
11409,Mariana,Esmae,Javier,2017-06-09,Female,Latino,"14430 sw mcfarland blvd  orlando, fl",32835,4862,151,,
11434,Annabelle,Corina,Estes,2019-12-02,Female,White,"3205 s hawthorne ave  gables by the sea, fl",33032,4872,152,,
11496,Brock,Yandel,Valdez,2016-03-20,Male,Latino,"2649 s 800 e  jacksonville, fl",32256,4899,153,,
11839,Willow,Emma,Bryant,2019-04-09,Female,White,"6648 n 17th st  panama city, fl",32405,5059,154,,
11893,Angelina,Isabella,Lopez Lima,2017-07-23,Female,Latino,"1219 southeast marla pla lot 39 west palm beach, fl",33401,5084,155,,
11903,Aniston,Arya,Mixon,2019-12-26,Female,Black,"25554 sandy knoll blvd  gainesville, fl",32641,5088,156,,
11916,Noah,Axel,Keel,2017-12-15,Male,White,"204 horseshoe crt  st. petersburg, fl",33715,5094,157,,
11979,Khalani,Naomi,Mateo,2019-10-16,Female,Latino,"22473 brick rd  st. petersburg, fl",33713,5120,158,,
12003,Elliot,Josue,Martinez,2019-04-11,Male,Latino,"1511 jerry ln  niceville, fl",32578,5127,159,,
12088,Lia,Flor,Summerville,2019-08-08,Female,Black,"2533 river run rd  largo, fl",33778,5161,160,,
12205,Brantley,Isaiah,Ruppel,2015-11-18,Male,White,"1015 edison ln  pensacola, fl",32514,5214,161,,
12335,Maddox,Jonah,Rizvi,2016-06-16,Male,White,"1014 la sombra drive apt 201 st. petersburg, fl",33709,5262,162,,
12522,Freya,Zara,Spear,2018-09-04,Female,White,"7732 colonial cir  lake land, fl",33813,5343,163,,
12599,Samira,Stella,Duran,2017-09-06,Female,Latino,"115 woodland ave  ocala, fl",34472,5375,164,,
12611,Jack,Darren,Wilson,2019-08-26,Male,Black,"267 dale ave  sanford, fl",32773,5379,165,,
12742,Gemma,Alice,Hansen,2019-01-27,Female,White,"2 parkway court  punta gorda, fl",33955,5441,166,,
12807,Jose,Marcel,Mendez,2015-05-30,Male,Latino,"2308 standridge avenue east  oviedo, fl",32765,5468,167,,
12918,Finley,Ivanka,Webb,2018-02-12,Female,Black,"131 s main st  palm beach gardens, fl",33418,5519,168,,
12956,Ailani,Hafsa,Thomas,2018-01-21,Female,Multiracial or Other,"818 coolidge ave  seven springs, fl",34689,5538,169,,
12979,Adriana,Addyson,Chavez,2015-08-10,Female,Latino,"6754 southeast johnson street aptmnt # 102 pt charlotte, fl",33954,5548,170,,
13098,Elliot,Valeria,Vega,2015-04-09,Female,Latino,"6690 lakeway  lakeland, fl",33801,5598,171,,
13099,Kamila,Adaline,Rosas Gutierrez,2018-03-10,Female,Latino,"6690 lakeway  lakeland, fl",33801,5598,172,,
13111,Kian,Xavier,Glockzin,2019-07-18,Male,White,"6329 st andrews cir s  jacksonville beach, fl",32250,5603,173,,
13233,Kamyla,Keira,Herod,2016-12-01,Female,White,"1639 e 3rd aven  melbourne, fl",32901,5654,174,,
13236,Raelyn,Makenzie,Hennessy,2019-05-28,Female,Asian,"1724 jack frost road apartment no 504 jacksonville, fl",32220,5655,175,,
13406,Zayne,Ryan,Herrera Lovato,2018-05-24,Male,Latino,"230 grove ln  orlando, fl",32807,5725,176,,
13433,Briella,Ariana,Panciera,2019-06-27,Female,Multiracial or Other,"1216 e academy street  weston, fl",33332,5735,177,,
13604,Aaliyah,India,Hughes,2020-01-22,Female,White,"5424 s 18th street  alachua, fl",32615,5802,178,,
13764,Cole,Adrian,Leyva,2016-06-24,Male,Latino,"121 riverside avenue  welaka, fl",32193,5875,179,,
13791,Finley,Kaiden,Diaz,2016-12-27,Male,Latino,"2204 jackson pike  casselberry, fl",32707,5890,180,,
13928,Maria,Blakely,Feasby,2016-06-25,Female,White,"166 vanderbilt avenue  lehigh acres, fl",33971,5942,181,,
14299,Leon,Logan,Jeremiah,2016-05-28,Male,Black,"5 crescent ky  minneola, fl",34715,6110,182,,
14458,Abel,Mathias,Nelligan,2017-05-17,Male,White,"17991 sterling hwy  the vlgs, fl",32163,6175,183,,
14594,Isabelle,Melania,Valerio,2019-04-04,Female,Latino,"6720 park blvd n  titusville, fl",32780,6230,184,,
14623,Luca,August,Maciel,2019-01-30,Male,Latino,"200 nichols blvd  jensen beach, fl",34957,6245,185,,
14674,Messiah,Levi,Delgadillo,2017-04-19,Male,Latino,"748 west college street  kendall, fl",33175,6267,186,,
14897,Audriana,Abigail,Theis,2015-04-19,Female,White,"2618 broadway  estero, fl",33928,6368,187,,
14914,Jayleen,Christelle,Brown,2016-07-14,Female,Black,"4933 sw 9th pl  gainesville, fl",32607,6373,188,,
15006,Ari,Mia,Norwood,2019-10-13,Female,Black,"1639 warfield ave  hialeah, fl",33054,6414,189,,
15023,Samantha,Adelyn,Ornelas,2016-09-09,Female,Latino,"201 wyckoff avn unit 4 miami beach, fl",33141,6419,190,,
15041,Kamden,Ethan,Gebru,2019-10-12,Male,Multiracial or Other,"18 princeton d  south port, fl",34759,6427,191,,
15103,Jamilah,Londyn,Thomas,2020-02-17,Female,White,"9814 hayes  panama city, fl",32405,6450,192,,
15140,Lennon,Alyssa,Fuselier,2018-09-13,Female,Black,"3603 washington blvd  cocoa, fl",32927,6467,193,,
15345,Milah,Ava,Boothman,2020-01-01,Female,White,"1239 sw 23rd st  lakeland, fl",33811,6551,194,,
15382,Malakai,Malakai,Parker,2019-09-19,Male,White,"25520 st rte 180  brooksville, fl",34601,6569,195,,
15427,Alice,Allie,Wiggins,2015-04-03,Female,Black,"119 cash ln  pembroke pines, fl",33027,6591,196,,
15568,Legend,Ryan,Landry,2018-03-16,Male,White,"20778 w forest vw dr  kissimmee, fl",34747,6651,197,,
15655,Aarav,Jaxson,Hayes,2020-02-25,Male,Black,"8041 chalet place  panama city beach, fl",32408,6683,198,,
15976,Tyson,Nolan,Hernandez Campos,2018-01-12,Male,Latino,"7940 se hawthorne blvd  sarasota, fl",34234,6811,199,,
15992,Raelynn,Cali,Lopezcarrillo,2019-01-22,Female,Latino,"778 b st  e palatka, fl",32131,6817,200,,
15999,Isaiah,Jaxson,Pringle,2016-10-13,Male,Black,"342 80th street  merritt island, fl",32953,6819,201,,
16035,Lily,Landyn,Medina,2016-10-25,Female,Latino,"16 settler's path  port saint lucie, fl",34984,6835,202,,
16144,Ken,Tyler,Forman,2017-10-29,Male,White,"636 cheese factory road  orlando, fl",32806,6882,203,,
16456,Angel,Luke,Alba-Hernandez,2018-10-23,Male,Latino,"11350 ne 38th ave  cape coral, fl",33993,7006,204,,
16483,Kristian,Michael,Salazar,2017-06-20,Male,Latino,"20221 monrovia rd  punta gorda, fl",33955,7017,205,,
16500,Elliott,Isaiah,Charest,2019-12-31,Male,White,"2079 old kings highway  bradenton, fl",34208,7023,206,,
16517,Zoe,Kylie,Bryant,2019-11-22,Female,White,"110 n aberdeen cir  unincorporated, fl",33436,7029,207,,
16590,Denis,Pierce,Smith,2019-09-06,Male,Black,"743 sumt square dr  weeki wachee, fl",34613,7058,208,,
16619,Skylar,Isla,Barnes,2017-06-26,Female,White,"21 bittern dr  winter haven, fl",33881,7073,209,,
16628,Kattaleia,Joanna,Melenciano,2017-07-18,Female,Latino,"6826 s 58th ave  brooksville, fl",34604,7076,210,,
16735,Nicholas,Javier,Stone,2015-09-13,Male,White,"505 w university ave  haines city, fl",33844,7122,211,,
16753,Mark,Jayden,Rhodes,2016-04-26,Male,Black,"102 altamahaw ave  the villages, fl",32162,7129,212,,
16813,Jasper,Jacob,Incantalupo,2019-08-09,Male,White,"288 e portage rd  fernandina beach, fl",32034,7156,213,,
16861,Reagan,Kenzie,Laprairie,2016-12-17,Female,White,"4512 n hansa pl  temple terrace, fl",33617,7174,214,,
16862,Violet,Julia,Cook,2016-04-24,Female,White,"4512 n hansa pl  temple terrace, fl",33617,7174,215,,
16890,Jackson,Joseph,Head,2015-09-30,Male,Black,"2940 dalebrook st  dalhousie-acres, fl",32778,7188,216,,
16980,Isabella,Jayda,Reyes,2016-01-21,Female,Latino,"2001 sw beauregard st  moore haven, fl",33471,7226,217,,
17029,Freyja,Mabel,Ault,2017-05-28,Female,White," jefferson chemical rd  ocala, fl",34475,7248,218,,
17226,Deshawn,Elias,Higgins,2017-04-06,Male,White,"10704 lithia pinecrest rd  wesley chapel, fl",33543,7325,219,,
17232,Maci,Madelyn,Geraghty,2016-10-13,Female,White,"535 mavis dr  fort myers, fl",33908,7327,220,,
17233,Sebastian,Luke,Bickett,2018-11-20,Male,White,"535 mavis dr  fort myers, fl",33908,7327,221,,
17255,Remington,Jaxon,Moccia,2017-11-03,Male,White,"3833 w lake sammamish pkwy se  winter haven, fl",33884,7337,222,,
17279,Raheem,Benjamin,Kelly,2017-04-24,Male,White,"23 appleton road  plantation, fl",33317,7346,223,,
17304,Jakyla,Chelsea,Keller,2019-01-25,Female,White,"12625 w cameron ave  st. petersburg, fl",33709,7355,224,,
17335,Khyrie,Riley,Ross,2017-05-05,Male,White,"742 e king ave  pensacola, fl",32534,7367,225,,
17342,Jaxon,Avery,Shipman,2019-09-02,Male,White,"154 e garnet ave  fort myers, fl",33912,7370,226,,
17397,Josiah,Isaiah,Chavez,2016-12-24,Male,Latino,"1939 lincoln dr  boynton beach, fl",33436,7390,227,,
17420,Aubrey,Jaylen,Fiegener,2016-07-25,Female,White,"7830 84th ln sw  sunrise, fl",33322,7402,228,,
17530,Kylie,Malani,Smalls,2018-04-25,Female,Black,"7702 brabham way  jacksonville, fl",32209,7450,229,,
17534,Ayesha,Clementine,Meas,2019-03-01,Female,Black,"2519 dennis ave  lutz, fl",33559,7452,230,,
17564,Saige,Iris,Brown,2018-12-27,Female,Black,"6396 thunderhead tr  jacksonville, fl",32210,7465,231,,
17579,Daxton,Jaheem,Webb,2019-12-20,Male,White,"106 e roberts ln  kendall, fl",33173,7471,232,,
17926,Riley,Blakely,Mcgill,2018-04-09,Female,White,"309 lake osiris road  port charlotte, fl",33952,7635,233,,
